post_owner,time_of_day,year,month,day,day_week,date,hour,part_of_day
__ch3ll__,2021-07-19 00:11:48,2021,July,19,Monday,2021-07-19,0,Late Night
__ch3ll__,2021-07-18 18:02:36,2021,July,18,Sunday,2021-07-18,18,Evening
vittorfernando,2021-07-17 15:59:01,2021,July,17,Saturday,2021-07-17,15,Afternoon
fotochaaat,2021-07-17 01:07:30,2021,July,17,Saturday,2021-07-17,1,Late Night
prof.danielgontijo,2021-07-16 15:18:38,2021,July,16,Friday,2021-07-16,15,Afternoon
sebastiao.salgados,2021-07-16 14:07:26,2021,July,16,Friday,2021-07-16,14,Afternoon
manoel_uchoa,2021-07-15 14:19:33,2021,July,15,Thursday,2021-07-15,14,Afternoon
filoeliteratu,2021-07-15 13:52:04,2021,July,15,Thursday,2021-07-15,13,Afternoon
sebastiao.salgados,2021-07-15 13:45:02,2021,July,15,Thursday,2021-07-15,13,Afternoon
semdeuses,2021-07-14 15:26:35,2021,July,14,Wednesday,2021-07-14,15,Afternoon
semdeuses,2021-07-14 15:11:55,2021,July,14,Wednesday,2021-07-14,15,Afternoon
sebastiao.salgados,2021-07-14 01:36:29,2021,July,14,Wednesday,2021-07-14,1,Late Night
revistatpm,2021-07-13 19:43:57,2021,July,13,Tuesday,2021-07-13,19,Evening
sebastiao.salgados,2021-07-13 14:47:32,2021,July,13,Tuesday,2021-07-13,14,Afternoon
coyotebeatz,2021-07-10 20:57:31,2021,July,10,Saturday,2021-07-10,20,Evening
mayarabeatriz12,2021-07-01 15:54:33,2021,July,1,Thursday,2021-07-01,15,Afternoon
manoel_uchoa,2021-07-01 15:53:53,2021,July,1,Thursday,2021-07-01,15,Afternoon
___nataliao.gomes,2021-07-01 01:03:13,2021,July,1,Thursday,2021-07-01,1,Late Night
__ch3ll__,2021-06-27 01:11:35,2021,June,27,Sunday,2021-06-27,1,Late Night
__ch3ll__,2021-06-27 01:11:04,2021,June,27,Sunday,2021-06-27,1,Late Night
sylvesterhenrique,2021-06-23 01:04:03,2021,June,23,Wednesday,2021-06-23,1,Late Night
sebastiao.salgados,2021-06-21 01:22:32,2021,June,21,Monday,2021-06-21,1,Late Night
sebastiao.salgados,2021-06-21 01:21:15,2021,June,21,Monday,2021-06-21,1,Late Night
spacetoday1,2021-06-19 23:12:48,2021,June,19,Saturday,2021-06-19,23,Night
spacetoday1,2021-06-19 23:11:33,2021,June,19,Saturday,2021-06-19,23,Night
spacetoday1,2021-06-18 02:24:42,2021,June,18,Friday,2021-06-18,2,Late Night
__ch3ll__,2021-06-17 03:28:39,2021,June,17,Thursday,2021-06-17,3,Late Night
sylvesterhenrique,2021-06-17 01:19:18,2021,June,17,Thursday,2021-06-17,1,Late Night
__ch3ll__,2021-06-15 08:44:42,2021,June,15,Tuesday,2021-06-15,8,Early Morning
__ch3ll__,2021-06-15 08:44:03,2021,June,15,Tuesday,2021-06-15,8,Early Morning
__ch3ll__,2021-06-15 08:43:29,2021,June,15,Tuesday,2021-06-15,8,Early Morning
__ch3ll__,2021-06-15 08:43:15,2021,June,15,Tuesday,2021-06-15,8,Early Morning
__ch3ll__,2021-06-15 08:42:56,2021,June,15,Tuesday,2021-06-15,8,Early Morning
__ch3ll__,2021-06-14 10:26:13,2021,June,14,Monday,2021-06-14,10,Morning
__ch3ll__,2021-06-14 10:25:34,2021,June,14,Monday,2021-06-14,10,Morning
luccas._.alves,2021-06-06 00:05:04,2021,June,6,Sunday,2021-06-06,0,Late Night
