platform,searchTime,searchQuery,searchInteractionURIs
ANDROID,2021-05-08 14:33:01,melhores rap roma,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-05-15 17:24:25,rael,['spotify:artist:0GWNKI3VPEcJsOIEhUjmxd']
ANDROID,2021-05-19 05:22:17,vit,['spotify:artist:06lnOkY99sXVW44Y0M4BDP']
ANDROID,2021-05-26 15:56:55,quando o gra,[]
ANDROID,2021-05-31 20:56:32,rap 2020,['spotify:playlist:0DmSdNrUjJWqXD7UnUGVn8']
ANDROID,2021-05-31 20:56:52,djonga procurp,['spotify:playlist:0630dQBuuU2WkdFlmOJw3h']
ANDROID,2021-06-01 01:35:50,melhores rap romantico,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-06-01 02:11:19,romeu e julieta vitao,"['spotify:track:3ALTiudfQayFosZxk344vk', 'spotify:playlist:6D6rzSUVFIprxBNxVcJpfT']"
ANDROID,2021-06-04 01:26:33,pumba,['spotify:track:2KzVaixEDiBv93yJXGRgOt']
ANDROID,2021-06-04 01:48:02,cristal,['spotify:artist:6i4nbGTS2gSP0e6emkTqdX']
ANDROID,2021-06-04 02:04:21,rap romantico 2021,"['spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw', 'spotify:playlist:2PWZxzTRF0XVCSmNtRLfb3', 'spotify:playlist:3luJyaKuJrZzdi1wEbshKv', 'spotify:playlist:0Nc4NjUIj3YWSoXVeMp9y7', 'spotify:playlist:63S3J9WrYmXCtMS1pX9etP', 'spotify:playlist:4nnAzofGUmUPZX8x9VtSMr', 'spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw']"
ANDROID,2021-06-04 02:06:30,rap romantico 2021,['spotify:playlist:4bjcNuQ0RkVygfDkhKQGNx']
ANDROID,2021-06-04 03:07:04,salve ma,['spotify:artist:7zxFc10N9BP2lg73b8cwZ0']
ANDROID,2021-06-15 08:57:45,djonga,['spotify:artist:204IwDdaHE4ymGk9Kya2pY']
ANDROID,2021-06-17 01:47:18,arc,"['spotify:artist:7Ln80lUS6He07XvHI8qqHH', 'spotify:playlist:37i9dQZF1DWWbVYL1LBbVy', 'spotify:artist:7Ln80lUS6He07XvHI8qqHH', 'spotify:playlist:13613ThuKFHn8T25iS7BDi']"
ANDROID,2021-06-17 01:51:26,man high castle resistance,"['spotify:album:6wp5uATZ1wfcngYTJ7QBOm', 'spotify:playlist:4PCX1FEQCVH5kP1UEbpOXa', 'spotify:album:6wp5uATZ1wfcngYTJ7QBOm']"
ANDROID,2021-06-21 10:38:47,eu não sou,"['spotify:track:4Sz4wqydJaWpFfR2QoaLCJ', 'spotify:track:4Sz4wqydJaWpFfR2QoaLCJ', 'spotify:album:3UAkGQKLrPhS0Qasld0sp6', 'spotify:album:3UAkGQKLrPhS0Qasld0sp6', 'spotify:track:03Oqtm4MwWJdkGy01uSgsZ', 'spotify:track:4Sz4wqydJaWpFfR2QoaLCJ']"
ANDROID,2021-06-21 10:56:29,eu não sou tão bom assim,['spotify:playlist:5JrFuY4zzcza5VNDR3OJyC']
ANDROID,2021-06-21 10:56:56,eu não sou tão bom assim,"['spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:4v0jOfQPkfbNjFgAkpk0qC', 'spotify:playlist:3A2yF0Bih62ny8nWPyjuDz', 'spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:4v0jOfQPkfbNjFgAkpk0qC', 'spotify:playlist:5rdhpA82obHFRfnV7Xva98', 'spotify:playlist:3A2yF0Bih62ny8nWPyjuDz', 'spotify:playlist:5rdhpA82obHFRfnV7Xva98']"
ANDROID,2021-06-21 14:18:51,eu não sou tão bom assim,"['spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:1RXWFL0xPwH5AfqNPKmWGj']"
ANDROID,2021-06-21 23:43:31,djonga,['spotify:album:3dCALWYm5dnvz0SS8kRi2k']
ANDROID,2021-06-21 23:43:49,cristal,['spotify:artist:6i4nbGTS2gSP0e6emkTqdX']
ANDROID,2021-06-21 23:44:21,djonga,['spotify:artist:204IwDdaHE4ymGk9Kya2pY']
ANDROID,2021-06-21 23:44:41,budah,['spotify:artist:08zSkHjCY3ypH4gdBVHWgO']
ANDROID,2021-07-24 03:50:30,postmodern,"['spotify:playlist:5rnfmkX6l2IqKg7AldxWsI', 'spotify:artist:5HYNPEO2NNBONQkp3Mvwvc', 'spotify:playlist:7csrlizJurpn6y0xenTwzu']"
