artist,album
Norah Jones,Classic Jones
Criolo,Criolo E Emicida Ao Vivo
Johnny Cash,American III: Solitary Man
Black Sabbath,Heaven & Hell
Black Sabbath,Master of Reality
Djonga,NU
Djonga,Histórias da Minha Área
Motörhead,"Stay Clean (Sound check at Newcastle City Hall, 30/3/1981)"
Norah Jones,Midnight Jones
Tiago Iorc,Acústico MTV Tiago Iorc
Norah Jones,Late Night Jones
Chris Cornell,Songbook
Tiago Iorc,Troco Likes Ao Vivo
Motörhead,Overkill
Cronixta,Deus É Mãe
Coyote Beatz,Best Seller Of Djonga (Instrumentals)
Makalister,Laura Muller Mixtape
Black Sabbath,Black Sabbath
slsd,"Olhos Abertos, Bocas Fechadas - EP"
Iron Maiden,The Writing On The Wall
