platform,searchTime,searchQuery,searchInteractionURIs
ANDROID,2021-05-01 17:41:04,ac/dc,"['spotify:playlist:0DmSdNrUjJWqXD7UnUGVn8', 'spotify:playlist:0MeXOXvGoKMIAOaZg7Ydlt', 'spotify:playlist:38iI10NJQ5HY0ilCItMz5r']"
ANDROID,2021-05-01 17:42:15,low roar,['spotify:playlist:3NHJr2O6HVU1Dnywxogcyo']
ANDROID,2021-05-01 17:42:57,rap nacional,['spotify:playlist:07DFhdfMTy8VhvstdHqGEd']
ANDROID,2021-05-01 17:50:07,resistance,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-05-02 14:19:27,london grammar,['spotify:playlist:37i9dQZF1DZ06evO0a532y']
ANDROID,2021-05-08 14:58:05,hozier,['spotify:playlist:4BA4fhgKxBWsUDoTpz2HWw']
ANDROID,2021-05-08 14:59:15,ella,['spotify:artist:4wh03gpwWgB5koOyZr8XxB']
ANDROID,2021-05-25 01:29:19,Trippin' On A Hole In A Paper Heart,['spotify:track:2gdtLnVGGg80Kj9GiqP0vH']
ANDROID,2021-06-06 00:46:04,motorhead,['spotify:artist:2PhFsxtwCQLS3e9SJwDN3j']
ANDROID,2021-06-06 00:46:21,rael,[]
ANDROID,2021-06-06 00:49:36,rael,[]
ANDROID,2021-06-06 00:53:26,emicida,"['spotify:artist:28ie4NNTa2VW2QV4Zray8M', 'spotify:playlist:37i9dQZF1E4yKJplutf1zx', 'spotify:playlist:37i9dQZF1DWVskFRGurTfg', 'spotify:playlist:37i9dQZF1E4yKJplutf1zx']"
ANDROID,2021-06-08 22:19:17,slsd,['spotify:album:7zfTsLHZjOUUstGNSWHlk2']
ANDROID,2021-06-12 19:16:01,poesia ,['spotify:playlist:4BA4fhgKxBWsUDoTpz2HWw']
ANDROID,2021-06-12 19:19:46,no na orelha,[]
ANDROID,2021-06-12 19:20:04,nada mudou,['spotify:playlist:0Q9K4SSrkcG3uS20YNXeVX']
ANDROID,2021-06-12 19:21:57,rap romantico,"['spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw', 'spotify:playlist:2PWZxzTRF0XVCSmNtRLfb3']"
ANDROID,2021-06-14 02:29:19,criolo,['spotify:artist:37ZflmHTdxkSLQuT8w9NBs']
ANDROID,2021-06-14 02:29:38,sistema obtuso,['spotify:playlist:5HBwCVrUNe3py2a2KZYUPh']
ANDROID,2021-06-14 02:29:42,sistema obtuso,"['spotify:playlist:5HBwCVrUNe3py2a2KZYUPh', 'spotify:playlist:3wiSGjONF3Af8viZb272bt', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst']"
