Video,Channel,Time,Year,Month,Day_week,Date,Hour,Part_of_day
 BAIXANDO DADOS DO YOUTUBE USANDO API - DIÁRIO DE CÓDIGO - 055,O Bruno Germano,2021-07-21 04:04:09,2021,July,Wednesday,2021-07-21,4,Late Night
 Consumindo dados da API do YOUTUBE com Python | Python na Prática #11,Programação Dinâmica,2021-07-21 03:24:33,2021,July,Wednesday,2021-07-21,3,Late Night
 YouTube Data API Tutorial with Python - Analyze Channel Statistics - Part 1,Python Engineer,2021-07-21 03:10:59,2021,July,Wednesday,2021-07-21,3,Late Night
 Mayí e Malcolm VL - REAI$ (prod. Coyote Beatz),Mayí,2021-07-20 14:29:49,2021,July,Tuesday,2021-07-20,14,Afternoon
 ACADEMY SPACE - Live Especial com Marcelo Gleiser,SpaceToday,2021-07-19 23:01:37,2021,July,Monday,2021-07-19,23,Night
 [LIVE] Raio-X Emocional da Criança! | Isa Minatel,Isa Minatel,2021-07-17 15:24:41,2021,July,Saturday,2021-07-17,15,Afternoon
 E quando a criança bate do nada? - Isa Minatel - Manhãs Sem Limites,Isa Minatel,2021-07-17 15:15:39,2021,July,Saturday,2021-07-17,15,Afternoon
 Crianças que gritam demais,Marcos Meier,2021-07-17 15:14:59,2021,July,Saturday,2021-07-17,15,Afternoon
 CRIANÇA QUE GRITA DEMAIS - 11 DICAS PARA RESOLVER | MACETES DE MÃE,Macetes de Mãe,2021-07-17 15:00:17,2021,July,Saturday,2021-07-17,15,Afternoon
 Introdução  à Big Data e Engenharia de Dados - Engenharia de Dados - 2021,Escola Livre de Inteligência Artificial,2021-07-15 00:21:09,2021,July,Thursday,2021-07-15,0,Late Night
 Analista de Dados ou Cientista de Dados? Qual devo me tornar?,Stack,2021-07-14 03:06:44,2021,July,Wednesday,2021-07-14,3,Late Night
 Entenda o que é Engenharia de Dados.,Stack,2021-07-14 02:59:33,2021,July,Wednesday,2021-07-14,2,Late Night
 Datastorytelling: como criar narrativas infalíveis através de dados,Escola Conquer,2021-07-13 16:36:51,2021,July,Tuesday,2021-07-13,16,Afternoon
" Comparativo entre as linguagens de programação C, C++, C#, Java e Python",Rodrigo Richard Gomes,2021-07-13 16:32:10,2021,July,Tuesday,2021-07-13,16,Afternoon
" Daily Vlog #05 - Diferenças entre C, C++ e C#",CFBCursos,2021-07-13 16:19:22,2021,July,Tuesday,2021-07-13,16,Afternoon
 Live Santander | Web Full Stack - 08/07,Let's Code,2021-07-10 10:14:13,2021,July,Saturday,2021-07-10,10,Morning
 Python PANDAS - Formatar casas decimais e números,Programe Python,2021-07-09 15:51:43,2021,July,Friday,2021-07-09,15,Afternoon
 Live Santander | Web Full Stack - 08/07,Let's Code,2021-07-09 12:03:18,2021,July,Friday,2021-07-09,12,Morning
 Live Santander | Web Full Stack - 08/07,Let's Code,2021-07-08 21:09:07,2021,July,Thursday,2021-07-08,21,Night
 POR QUE SAÍ DO HENÊ E CORTEI PIXIE? - Mayara Pereira,MAYARA PEREIRA,2021-07-08 18:11:30,2021,July,Thursday,2021-07-08,18,Evening
 Python PANDAS - Formatar casas decimais e números,Programe Python,2021-07-08 17:19:38,2021,July,Thursday,2021-07-08,17,Evening
 POR QUE SAÍ DO HENÊ E CORTEI PIXIE? - Mayara Pereira,MAYARA PEREIRA,2021-07-07 21:38:44,2021,July,Wednesday,2021-07-07,21,Night
 Rodrigo Cintra dá dica de como Alisar o seu cabelo sem formol !!!,Olenka Cosmeticos,2021-07-07 21:22:09,2021,July,Wednesday,2021-07-07,21,Night
 🐍 Meetup Python BH #3 (online),Cássio Botaro,2021-07-04 11:54:18,2021,July,Sunday,2021-07-04,11,Morning
 1. Djonga - Nós,Djonga,2021-07-03 16:35:35,2021,July,Saturday,2021-07-03,16,Afternoon
 #2: Python print() function and variables | Python for Beginners,Programiz,2021-07-02 11:41:22,2021,July,Friday,2021-07-02,11,Morning
 #1: Introduction to Python programming | Python for Beginners,Programiz,2021-07-02 11:38:31,2021,July,Friday,2021-07-02,11,Morning
 How to Stop Taking Things So Personally,Einzelgänger,2021-06-30 19:19:53,2021,June,Wednesday,2021-06-30,19,Evening
 Tutorial: Análise Exploratória de Dados com Python,Instituto de Computação - UFF,2021-06-29 16:57:24,2021,June,Tuesday,2021-06-29,16,Afternoon
 Como criar gráficos em Python com Matplotlib (Python para machine learning - Aula 21),Didática Tech,2021-06-25 13:43:45,2021,June,Friday,2021-06-25,13,Afternoon
 Blind spots: Challenge assumptions,PwC,2021-06-25 04:08:38,2021,June,Friday,2021-06-25,4,Late Night
 Conheça a TreinaWeb,TreinaWeb,2021-06-24 13:42:00,2021,June,Thursday,2021-06-24,13,Afternoon
 Women@Cloud: mulheres no mercado de TI | Evento completo,Google Cloud LATAM,2021-06-23 10:56:10,2021,June,Wednesday,2021-06-23,10,Morning
 3030 - Minha Calma / Desde o Início (Acústico)  (part. Rodrigo Cartier),3030 Oficial,2021-06-21 15:26:24,2021,June,Monday,2021-06-21,15,Afternoon
 3030 - Preciso Saber (Acústico),3030 Oficial,2021-06-21 15:21:05,2021,June,Monday,2021-06-21,15,Afternoon
" Rael da Rima - ""Ela me faz"" - (Estúdio Windows)",TRAMA,2021-06-21 15:15:42,2021,June,Monday,2021-06-21,15,Afternoon
 3030 - Reis e Tronos / Mistério das Estrelas (Acústico),3030 Oficial,2021-06-21 15:08:01,2021,June,Monday,2021-06-21,15,Afternoon
 Rael - Ser Feliz,Rael,2021-06-21 15:04:09,2021,June,Monday,2021-06-21,15,Afternoon
 3030 - Mundo de Ilusões / Bom Dia (Acústico),3030 Oficial,2021-06-21 15:03:56,2021,June,Monday,2021-06-21,15,Afternoon
 Rael - Do Quintal (Session) - Medley: Vendaval/Descomunal/De Amor/Deixa eu consertar/Especial,Rael,2021-06-21 14:54:49,2021,June,Monday,2021-06-21,14,Afternoon
" Rael - Aurora Boreal ""Medley Acústica"" - ONErpm Studios Sessions",ONErpm,2021-06-21 14:45:21,2021,June,Monday,2021-06-21,14,Afternoon
" Chamada - Treinamento Gratuito ""Engenharia de Requisitos para Business Intelligence""",Claudio Bonel,2021-06-20 04:28:39,2021,June,Sunday,2021-06-20,4,Late Night
" Chamada - Treinamento Gratuito ""Engenharia de Requisitos para Business Intelligence""",Claudio Bonel,2021-06-20 00:21:37,2021,June,Sunday,2021-06-20,0,Late Night
 https://www.youtube.com/watch?v=nieizo5Gl6o,Advertisement (Google AdSense),2021-06-18 16:16:14,2021,June,Friday,2021-06-18,16,Afternoon
 Flora Matos - Comofaz | Studio62,ProjetoStudio62,2021-06-18 16:11:24,2021,June,Friday,2021-06-18,16,Afternoon
 Froid part. Cynthia Luz  - Bicho de 7 Cabeças/A Culpa é das Igrejas [Ep. 123 ] [ Prod. Leo Casa 1 ],Rap Box,2021-06-18 16:06:00,2021,June,Friday,2021-06-18,16,Afternoon
 3030 - Meu Jardim / Obrigado Vida (Acústico),3030 Oficial,2021-06-18 15:59:55,2021,June,Friday,2021-06-18,15,Afternoon
 Rael - Aurora Boreal (Clipe oficial),Rael,2021-06-18 15:55:09,2021,June,Friday,2021-06-18,15,Afternoon
 Emicida - É tudo pra ontem part. Gilberto Gil,Emicida,2021-06-18 15:48:44,2021,June,Friday,2021-06-18,15,Afternoon
 3030 - Reis e Tronos / Mistério das Estrelas (Acústico),3030 Oficial,2021-06-18 15:41:03,2021,June,Friday,2021-06-18,15,Afternoon
 Rael - Do Quintal (Session) - Rouxinol,Rael,2021-06-18 15:36:59,2021,June,Friday,2021-06-18,15,Afternoon
 3030 - Luz Em Todo Morro (Acústico),3030 Oficial,2021-06-18 15:31:57,2021,June,Friday,2021-06-18,15,Afternoon
" Maneva, Rael - Sem Jeito Ao Vivo (Acústico / Ao Vivo)",ManevaVEVO,2021-06-18 15:28:37,2021,June,Friday,2021-06-18,15,Afternoon
" Emicida - Principia part. Pastor Henrique Vieira, Fabiana Cozza, Pastoras do Rosário",Emicida,2021-06-18 15:22:23,2021,June,Friday,2021-06-18,15,Afternoon
 Maneva - Seja Para Mim (Ao Vivo Em São Paulo),ManevaVEVO,2021-06-18 15:19:16,2021,June,Friday,2021-06-18,15,Afternoon
 Rael - Tudo vai passar (Infusão) (Álbum visual),Rael,2021-06-18 15:14:00,2021,June,Friday,2021-06-18,15,Afternoon
 3030 - Preciso Saber (Acústico),3030 Oficial,2021-06-18 15:08:44,2021,June,Friday,2021-06-18,15,Afternoon
 3030 - Minha Calma / Desde o Início (Acústico)  (part. Rodrigo Cartier),3030 Oficial,2021-06-18 15:00:01,2021,June,Friday,2021-06-18,15,Afternoon
 3030 - Rascunho / Deixa Levar (Acústico),3030 Oficial,2021-06-18 14:50:39,2021,June,Friday,2021-06-18,14,Afternoon
 Rael - Ser Feliz,Rael,2021-06-18 14:47:10,2021,June,Friday,2021-06-18,14,Afternoon
 Maneva - Saudades Do Tempo (Ao Vivo Em São Paulo),ManevaVEVO,2021-06-18 14:41:04,2021,June,Friday,2021-06-18,14,Afternoon
" Rael da Rima - ""Ela me faz"" - (Estúdio Windows)",TRAMA,2021-06-18 14:35:29,2021,June,Friday,2021-06-18,14,Afternoon
 Rael - Hoje é dia de ver (Clipe oficial),Rael,2021-06-18 14:31:21,2021,June,Friday,2021-06-18,14,Afternoon
 Rael - Do Quintal (Session) - Medley: Vendaval/Descomunal/De Amor/Deixa eu consertar/Especial,Rael,2021-06-18 14:22:05,2021,June,Friday,2021-06-18,14,Afternoon
 3030 - Mundo de Ilusões / Bom Dia (Acústico),3030 Oficial,2021-06-18 14:12:29,2021,June,Friday,2021-06-18,14,Afternoon
" Rael - Aurora Boreal ""Medley Acústica"" - ONErpm Studios Sessions",ONErpm,2021-06-18 14:04:38,2021,June,Friday,2021-06-18,14,Afternoon
 Live de Python #161 -  Plotly Dash,Eduardo Mendes,2021-06-18 11:48:24,2021,June,Friday,2021-06-18,11,Morning
 SQLAlchemy ORM Tutorial #6 - Delete Data in Table,Jerin Jose,2021-06-18 11:29:25,2021,June,Friday,2021-06-18,11,Morning
 SQLAlchemy ORM Tutorial #5 - Update Data in Table,Jerin Jose,2021-06-18 11:00:58,2021,June,Friday,2021-06-18,11,Morning
 SQLAlchemy ORM Tutorial #4 - Read Data from Table,Jerin Jose,2021-06-18 10:30:20,2021,June,Friday,2021-06-18,10,Morning
 SQLAlchemy ORM Tutorial #3 - Insert Data Into Table,Jerin Jose,2021-06-18 10:01:12,2021,June,Friday,2021-06-18,10,Morning
 SQLAlchemy ORM Tutorial #2 - Create Table,Jerin Jose,2021-06-18 09:45:12,2021,June,Friday,2021-06-18,9,Morning
 SQLAlchemy ORM Tutorial #1 - Introduction,Jerin Jose,2021-06-18 09:39:29,2021,June,Friday,2021-06-18,9,Morning
 SQLAlchemy ORM for Beginners,Next Day Video,2021-06-18 09:27:28,2021,June,Friday,2021-06-18,9,Morning
 ENGAGING THE ARTEMIS GENERATION: A forum to explore collaboration opportunities with NASA STEM,NASA STEM,2021-06-18 04:34:17,2021,June,Friday,2021-06-18,4,Late Night
 3030 - Mundo de Ilusões / Bom Dia (Acústico),3030 Oficial,2021-06-16 23:45:26,2021,June,Wednesday,2021-06-16,23,Night
 Rael - Hoje é dia de ver (Clipe oficial),Rael,2021-06-16 23:41:04,2021,June,Wednesday,2021-06-16,23,Night
" Rael - Aurora Boreal ""Medley Acústica"" - ONErpm Studios Sessions",ONErpm,2021-06-16 23:34:59,2021,June,Wednesday,2021-06-16,23,Night
 Rael - Do Quintal (Session) - Medley: Vendaval/Descomunal/De Amor/Deixa eu consertar/Especial,Rael,2021-06-16 23:14:51,2021,June,Wednesday,2021-06-16,23,Night
 Emicida e Rael da Rima - Cada Vento,melikbmh,2021-06-16 23:14:22,2021,June,Wednesday,2021-06-16,23,Night
 Rael - Ser Feliz,Rael,2021-06-16 23:10:50,2021,June,Wednesday,2021-06-16,23,Night
" Rael da Rima - ""Ela me faz"" - (Estúdio Windows)",TRAMA,2021-06-16 23:04:50,2021,June,Wednesday,2021-06-16,23,Night
 Matplotlib vs Seaborn vs Plotly,Peixe Babel,2021-06-10 18:43:11,2021,June,Thursday,2021-06-10,18,Evening
 Live de Python #11 - Abstraindo seu banco de dados com SQLAlchemy (core),Eduardo Mendes,2021-06-10 07:46:17,2021,June,Thursday,2021-06-10,7,Early Morning
 https://www.youtube.com/watch?v=6adJvQor9v4,Advertisement (Google AdSense),2021-06-10 05:34:23,2021,June,Thursday,2021-06-10,5,Early Morning
 Brain Meetup - Plataformas de Machine Learning,iFood Universo,2021-06-09 22:16:00,2021,June,Wednesday,2021-06-09,22,Night
 Apagar registros de uma tabela no PostgreSQL com DELETE FROM e TRUNCATE TABLE,Bóson Treinamentos,2021-06-08 17:20:18,2021,June,Tuesday,2021-06-08,17,Evening
 Curso de PostgreSQL - Cláusula UPDATE - Atualizar dados inseridos nas tabelas,Bóson Treinamentos,2021-06-08 16:41:00,2021,June,Tuesday,2021-06-08,16,Afternoon
 Curso de PostgreSQL - Operador BETWEEN e intervalos em consultas SQL,Bóson Treinamentos,2021-06-08 16:26:48,2021,June,Tuesday,2021-06-08,16,Afternoon
 Curso de PostgreSQL - Operadores de Comparação em Consultas SQL,Bóson Treinamentos,2021-06-08 16:17:01,2021,June,Tuesday,2021-06-08,16,Afternoon
Visited https://pacotefullstack.com/master/?https://go.hotmart.com/K38301469S?ap=2232&src=ytads466,Advertisement (Google AdSense),2021-06-08 16:16:40,2021,June,Tuesday,2021-06-08,16,Afternoon
 Introdução ao PostgreSQL - Curso de Postgres,Bóson Treinamentos,2021-06-08 16:14:07,2021,June,Tuesday,2021-06-08,16,Afternoon
