Video,Channel,Time,Year,Month,Day_week,Date,Hour
 O convite | Gumball | Mês do Riso | Cartoon Network,Cartoon Network Brasil,2019-12-14 00:29:01,2019,December,Saturday,2019-12-14,0
 Caillou em Português ★ Episódios Completos ★ Caillou e o ônibus escolar ★ Desenho Animado ★,Caillou em Português - WildBrain,2019-12-14 00:26:37,2019,December,Saturday,2019-12-14,0
 Caillou em Português | Caillou e a Fada do Dente | Nova Temporada | Desenho Animado,Caillou em Português - WildBrain,2019-12-14 00:25:29,2019,December,Saturday,2019-12-14,0
 https://www.youtube.com/watch?v=PALYEcVINRc,Advertisement (Google AdSense),2019-08-25 18:32:41,2019,August,Sunday,2019-08-25,18
 CINDERELA - Uma Nova Cindebela. Historinha da Bela em Portugues | DisneySurpresa,Bela Bagunça,2019-08-25 18:24:27,2019,August,Sunday,2019-08-25,18
 https://www.youtube.com/watch?v=p5_dB8q8kJA,Advertisement (Google AdSense),2019-08-25 18:23:16,2019,August,Sunday,2019-08-25,18
 UMA MANHÃ DE ATIVIDADES - Flavia Calina,Flavia Calina,2019-08-25 18:23:04,2019,August,Sunday,2019-08-25,18
 Tintas de Banho do Pig George e Peppa Pig no Escorregador,TOYSBR Parque dos Brinquedos Surpresa Brasil,2019-08-25 18:21:08,2019,August,Sunday,2019-08-25,18
 Bia Lobo Passeio com Clarabela,Bia Lobo,2019-08-25 18:18:34,2019,August,Sunday,2019-08-25,18
 BABYALIVE / DORMINDO  / POMERANIAN / LULU DA POMERÂNIA / BIA LOBO,Bia Lobo,2019-08-25 18:15:23,2019,August,Sunday,2019-08-25,18
 Baby Alive Rotina do Almoço LUNCH ROUTINE com BIA LOBO,Bia Lobo,2019-08-25 18:14:19,2019,August,Sunday,2019-08-25,18
 VIRAMOS TROLLS - Flavia Calina,Flavia Calina,2019-08-25 18:11:12,2019,August,Sunday,2019-08-25,18
 Büyükannem Havuza Düştü!! - For Kid Swimming Pool and Kids - Funny Oyuncak Avı Öykü,Oyuncak Avı,2019-08-25 18:07:07,2019,August,Sunday,2019-08-25,18
 Öykü'nün Survivor Parkuru - Colored Wheels For Kids - Funny Oyuncak Avı,Oyuncak Avı,2019-08-25 18:07:02,2019,August,Sunday,2019-08-25,18
 Öykü and Barbie Car Play with Cute Monkey  - Funny Oyuncak Avı,Oyuncak Avı,2019-08-25 18:06:51,2019,August,Sunday,2019-08-25,18
" Öykü and toy brother in colored paints, Learn Colors With finger paints - Funny Oyuncak Avı",Oyuncak Avı,2019-08-25 18:05:27,2019,August,Sunday,2019-08-25,18
 Sesame Street: R is for Routine,Sesame Street,2019-08-25 18:03:16,2019,August,Sunday,2019-08-25,18
 The Wiggles: Miss Polly Had a Dolly (feat. Dennisha Pratt) | Kids Songs,The Wiggles,2019-08-25 17:59:49,2019,August,Sunday,2019-08-25,17
 ESTÁTUA - VIDEOCLIPE OFICIAL - MILENINHA,MILENINHA,2019-08-25 17:57:13,2019,August,Sunday,2019-08-25,17
 NÃO TÁ DANDO CERTO 😨 (Clipe Oficial) Mileninha,MILENINHA,2019-08-25 17:55:31,2019,August,Sunday,2019-08-25,17
 CAPA DE INVISIBILIDADE ❤ CAPÍTULO 2 ❤ MUNDO DA MENINA,Mundo da Menina,2019-08-25 17:53:12,2019,August,Sunday,2019-08-25,17
 CAPA DE INVISIBILIDADE ❤ CAPÍTULO 1 ❤ MUNDO DA MENINA,Mundo da Menina,2019-08-25 17:51:43,2019,August,Sunday,2019-08-25,17
 Aviao da Barbie Novo Abrindo Brinquedo Review do Novo Jato da Barbie!!! Em Portugues Tototoykids,Totoykids,2019-08-25 17:47:29,2019,August,Sunday,2019-08-25,17
 Baby Alive Sara minha boneca Ganha Brinquedo Novo playset 3 em 1 toma Banho Cozinha e Muito mais!!!,Totoykids,2019-08-25 17:34:54,2019,August,Sunday,2019-08-25,17
 Zig & Sharko 🔍PLAYMOBIL 🤖 THE SLICK (S01E04.1) in HD,Zig & Sharko,2019-08-25 17:31:48,2019,August,Sunday,2019-08-25,17
 Balão Gigante de Bola com surpresa com Julia Silva,Canal da Lulu,2019-08-25 17:30:45,2019,August,Sunday,2019-08-25,17
 Mia Bagunça,Lilly Doll,2019-08-25 17:29:28,2019,August,Sunday,2019-08-25,17
 🍼BABY ALIVE COMILONA SARA ALMOÇO MACARRÃO COM MOLHO CARNE MOÍDA SORVETE E SUCO DE UVA COMIDINHAS,Baby Alive Brasil,2019-08-25 17:29:23,2019,August,Sunday,2019-08-25,17
 BABYALIVE / Shopping / PASSEIO de Carro,Bia Lobo,2019-08-25 17:07:07,2019,August,Sunday,2019-08-25,17
 UMA PRINCESA NO JARDIM - Flavia Calina,Flavia Calina,2019-08-25 17:06:56,2019,August,Sunday,2019-08-25,17
 https://www.youtube.com/watch?v=o19XQcMu3FA,Advertisement (Google AdSense),2019-08-25 17:06:32,2019,August,Sunday,2019-08-25,17
 BALÃO GIGANTE SURPRESA BONECAS LOL SURPRESA SÉRIE 2 e SÉRIE 1 | NICOLE DUMER,NICOLE DUMER,2019-08-25 17:06:00,2019,August,Sunday,2019-08-25,17
 MASSINHA DIFERENTE - MISS GABY,Miss Gaby e Família,2019-08-25 17:00:46,2019,August,Sunday,2019-08-25,17
