title,time,year,month,day_week,date,hour
 baixando dados do youtube api python,2021-07-21 04:07:07,2021,July,Wednesday,2021-07-21,4
 cnn tonight,2021-07-18 00:30:42,2021,July,Sunday,2021-07-18,0
 djonga,2021-07-03 16:35:13,2021,July,Saturday,2021-07-03,16
 desenho animado whindersson nunes,2021-06-20 23:04:47,2021,June,Sunday,2021-06-20,23
 bonel dados,2021-06-19 12:11:47,2021,June,Saturday,2021-06-19,12
 postgresql sqlalchemy orm,2021-06-18 09:27:59,2021,June,Friday,2021-06-18,9
 rael aurora boreal,2021-06-16 23:23:00,2021,June,Wednesday,2021-06-16,23
 rael,2021-06-16 23:04:24,2021,June,Wednesday,2021-06-16,23
 sqlalchemy postgresql,2021-06-08 17:21:08,2021,June,Tuesday,2021-06-08,17
Visited https://pacotefullstack.com/master/?https://go.hotmart.com/K38301469S?ap=2232&src=ytads466,2021-06-08 16:16:40,2021,June,Tuesday,2021-06-08,16
Visited https://use.runrun.it/cronograma-de-projetos/?utm_source=youtube&utm_medium=cpc&utm_campaign=youtube_trv_action&utm_adgroup=intencao_buscas_gantt,2021-06-08 16:14:02,2021,June,Tuesday,2021-06-08,16
 sqlalchemy postgresql,2021-06-06 18:00:20,2021,June,Sunday,2021-06-06,18
 curso sqlalchemy postgresql,2021-06-06 17:32:09,2021,June,Sunday,2021-06-06,17
 curso sqlalchemy,2021-06-06 17:31:39,2021,June,Sunday,2021-06-06,17
 metabase como usar,2021-05-26 23:25:27,2021,May,Wednesday,2021-05-26,23
 postgresql boson treinamentos,2021-05-22 12:44:20,2021,May,Saturday,2021-05-22,12
 Como instalar e acessar o pgAdmin4 no Linux Ubuntu 20.04,2021-05-19 13:36:08,2021,May,Wednesday,2021-05-19,13
 Como instalar e acessar o pgAdmin4 no Linux Ubuntu bóson,2021-05-19 13:30:34,2021,May,Wednesday,2021-05-19,13
 Como instalar e acessar o pgAdmin4 no Linux Ubuntu,2021-05-19 13:30:11,2021,May,Wednesday,2021-05-19,13
 dbeaver,2021-05-11 15:52:29,2021,May,Tuesday,2021-05-11,15
 comparar listas python,2021-05-10 17:45:57,2021,May,Monday,2021-05-10,17
 formatar um pen drive criado pelo rufus,2021-05-10 15:49:10,2021,May,Monday,2021-05-10,15
 formatar um pen drive no pop os,2021-05-10 15:31:25,2021,May,Monday,2021-05-10,15
 teclado lenovo ideapad s145 parou de funcionar,2021-05-08 16:14:57,2021,May,Saturday,2021-05-08,16
 teclado lenovo ideapad s145 parou de funcionar,2021-05-08 15:41:37,2021,May,Saturday,2021-05-08,15
 tutorial instalação do pop os,2021-05-08 14:07:59,2021,May,Saturday,2021-05-08,14
 instalação do pop os passo a passo,2021-05-08 14:07:48,2021,May,Saturday,2021-05-08,14
 como instalar o pop os,2021-05-08 13:38:48,2021,May,Saturday,2021-05-08,13
 pop os vaamonde,2021-05-08 13:30:52,2021,May,Saturday,2021-05-08,13
 instalação do pop os passo a passo,2021-05-08 05:57:19,2021,May,Saturday,2021-05-08,5
 instalação completa do pop os,2021-05-08 05:57:04,2021,May,Saturday,2021-05-08,5
 instalação do pop os,2021-05-08 05:52:06,2021,May,Saturday,2021-05-08,5
 fedora diolinux,2021-05-08 05:41:00,2021,May,Saturday,2021-05-08,5
 pop os diolinux,2021-05-08 05:26:45,2021,May,Saturday,2021-05-08,5
 como instalar o pop os,2021-05-08 04:55:52,2021,May,Saturday,2021-05-08,4
 full cycle wsl docker,2021-05-06 13:08:50,2021,May,Thursday,2021-05-06,13
 comida japonesa,2021-04-22 00:43:38,2021,April,Thursday,2021-04-22,0
 takoyaki,2021-04-22 00:41:38,2021,April,Thursday,2021-04-22,0
 okonomiyaki,2021-04-22 00:35:47,2021,April,Thursday,2021-04-22,0
 python pro,2021-04-13 23:06:35,2021,April,Tuesday,2021-04-13,23
 python pro,2021-04-13 20:15:24,2021,April,Tuesday,2021-04-13,20
 live de python,2021-04-13 02:40:07,2021,April,Tuesday,2021-04-13,2
 api marvel python,2021-04-04 03:29:00,2021,April,Sunday,2021-04-04,3
 api marvel,2021-04-04 03:09:20,2021,April,Sunday,2021-04-04,3
 github zero to hero,2021-03-31 23:32:18,2021,March,Wednesday,2021-03-31,23
 curso em video condições python,2021-03-26 02:20:10,2021,March,Friday,2021-03-26,2
 live de python,2021-03-24 12:11:54,2021,March,Wednesday,2021-03-24,12
 live de python poo 2,2021-03-24 00:24:27,2021,March,Wednesday,2021-03-24,0
 github zero to hero,2021-03-20 18:58:02,2021,March,Saturday,2021-03-20,18
 mutéd,2021-03-20 14:38:39,2021,March,Saturday,2021-03-20,14
 github zero to hero,2021-03-20 14:26:10,2021,March,Saturday,2021-03-20,14
 dicas para usar a plataforma qualified,2021-03-14 23:29:23,2021,March,Sunday,2021-03-14,23
 qualified,2021-03-14 23:28:43,2021,March,Sunday,2021-03-14,23
 dicas para usar o qualified,2021-03-14 23:28:36,2021,March,Sunday,2021-03-14,23
 dicas para usar qualified,2021-03-14 23:27:51,2021,March,Sunday,2021-03-14,23
 python funções thiago,2021-03-14 23:21:00,2021,March,Sunday,2021-03-14,23
 funções thiago,2021-03-14 23:20:53,2021,March,Sunday,2021-03-14,23
 curso em video condições python,2021-03-12 01:38:38,2021,March,Friday,2021-03-12,1
 curso em video condições python,2021-03-11 20:47:44,2021,March,Thursday,2021-03-11,20
 bruno de campos dias,2021-03-07 04:54:34,2021,March,Sunday,2021-03-07,4
 familia frança nascimento do Antony,2021-03-07 00:27:16,2021,March,Sunday,2021-03-07,0
 familia frança,2021-03-07 00:26:51,2021,March,Sunday,2021-03-07,0
Visited https://mairovergara.lpages.co/cdmgoogle/,2021-03-02 17:11:58,2021,March,Tuesday,2021-03-02,17
 mindvalley,2021-03-01 04:56:04,2021,March,Monday,2021-03-01,4
 cubos academy,2021-02-25 22:47:30,2021,February,Thursday,2021-02-25,22
 ifood universo,2021-02-25 22:31:42,2021,February,Thursday,2021-02-25,22
 real engineering,2021-02-23 05:00:45,2021,February,Tuesday,2021-02-23,5
 blablalogia,2021-02-20 17:24:37,2021,February,Saturday,2021-02-20,17
 kultivi,2021-02-18 00:47:06,2021,February,Thursday,2021-02-18,0
 damas de ferro,2021-02-16 22:25:51,2021,February,Tuesday,2021-02-16,22
 debug vscode python,2021-02-07 17:30:25,2021,February,Sunday,2021-02-07,17
 logica matematica,2021-02-03 20:48:00,2021,February,Wednesday,2021-02-03,20
 los sebosos postizos,2021-01-31 18:38:16,2021,January,Sunday,2021-01-31,18
 damas de ferro,2021-01-30 14:34:15,2021,January,Saturday,2021-01-30,14
 dev soltinho,2021-01-25 15:39:27,2021,January,Monday,2021-01-25,15
 dev soltinho,2021-01-23 22:11:31,2021,January,Saturday,2021-01-23,22
 resilia educação,2021-01-22 23:22:10,2021,January,Friday,2021-01-22,23
 resília educação,2021-01-22 23:07:53,2021,January,Friday,2021-01-22,23
 resília,2021-01-22 23:07:46,2021,January,Friday,2021-01-22,23
 resilia,2021-01-22 23:07:30,2021,January,Friday,2021-01-22,23
 ganhe dinheiro em 2021,2021-01-22 02:11:35,2021,January,Friday,2021-01-22,2
 cdb me poupe,2021-01-22 01:49:09,2021,January,Friday,2021-01-22,1
 investnews,2021-01-21 20:48:23,2021,January,Thursday,2021-01-21,20
 elis regina deixa,2021-01-20 06:32:43,2021,January,Wednesday,2021-01-20,6
 elis deixa,2021-01-20 06:30:06,2021,January,Wednesday,2021-01-20,6
 Diagrama de Sequência boson,2021-01-10 01:55:48,2021,January,Sunday,2021-01-10,1
Visited https://www.d6em7.com.br/jan2021_tfg/?pi=364,2021-01-10 01:44:48,2021,January,Sunday,2021-01-10,1
 hipsters ponto tube,2021-01-09 15:33:00,2021,January,Saturday,2021-01-09,15
 isa minatell,2021-01-01 23:28:37,2021,January,Friday,2021-01-01,23
 bianca sollero,2021-01-01 23:28:08,2021,January,Friday,2021-01-01,23
 criatividade com asas,2021-01-01 23:27:52,2021,January,Friday,2021-01-01,23
 sistema obtuso psicologo,2020-12-26 19:56:00,2020,December,Saturday,2020-12-26,19
 sistema obtuso,2020-12-26 19:46:22,2020,December,Saturday,2020-12-26,19
 brasil paralelo,2020-12-24 22:24:45,2020,December,Thursday,2020-12-24,22
 caetano,2020-12-20 00:44:25,2020,December,Sunday,2020-12-20,0
 caetano,2020-12-19 23:00:59,2020,December,Saturday,2020-12-19,23
 drao milton nascimento,2020-12-19 01:13:35,2020,December,Saturday,2020-12-19,1
